"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"019","06",70,200,3,-1,-1,-1
"019","06",130,130,2,-1,-1,-1
"019","06",130,130,2,-1,-1,-1
"019","06",200,230,1,50,1,3
"019","06",200,230,1,50,1,3
"019","06",200,230,1,50,1,3
"019","06",200,230,1,50,1,3
"019","06",200,230,1,50,1,3
"019","06",300,300,2,-1,-1,-1
"019","06",300,300,2,-1,-1,-1
"019","06",300,300,2,-1,-1,-1
"019","06",300,300,2,-1,-1,-1
"019","06",300,300,2,-1,-1,-1
"000","06",-1,80,-1,-1,2,3
"029","06",50,50,2,-1,-1,-1
"000","06",250,260,2,-1,-1,-1
"000","06",250,260,2,-1,-1,-1
"000","06",120,170,3,-1,1,3
"000","06",120,170,3,-1,1,3
"000","06",120,170,3,-1,1,3
"000","06",120,170,3,-1,1,3
"000","06",60,50,3,-1,-1,-1
"000","06",70,350,3,-1,-1,2
"037","06",180,310,2,-1,-1,-1
"037","06",180,310,2,-1,-1,-1
"037","06",200,380,2,-1,-1,-1
"037","06",60,80,3,-1,-1,-1
"037","06",60,80,3,-1,-1,-1
"037","06",90,20,2,-1,-1,-1
"037","06",450,470,2,-1,-1,-1
"037","06",450,470,2,-1,-1,-1
"037","06",70,70,2,-1,-1,-1
"037","06",200,300,2,-1,2,3
"037","06",200,300,2,-1,2,3
"037","06",200,300,2,-1,2,3
"037","06",30,40,3,-1,-1,-1
"037","06",150,120,2,-1,-1,-1
"037","06",90,90,3,-1,1,1
"037","06",100,150,3,-1,-1,-1
"037","06",100,150,3,-1,-1,-1
"037","06",100,150,3,-1,-1,-1
"037","06",100,150,3,-1,-1,-1
"037","06",220,220,3,-1,-1,-1
"037","06",220,220,3,-1,-1,-1
"037","06",70,80,3,-1,-1,-1
"037","06",300,270,1,100,2,3
